start_datetime,corridor,zone,latitude,longitude,reclassified_cause,resolution_min,has_valid_resolution,event_type,status,hour,dayofweek,month,is_peak_hour,hotspot_id,congestion_index,cause_severity,road_closure,is_planned,incident_density_24h,nlp_severity_score,description_length,has_kannada,veh_type,reason_breakdown_clean
2023-11-09 19:24:48.154000,Non-corridor,Central Zone 1,12.9668967,77.610555,vehicle_breakdown,203.8280376,True,unplanned,closed,19.0,3.0,11.0,1,52,0.5737463126843658,2,0,0,0,0,35,0,unknown,none
2023-11-09 19:28:05.033000,CBD 2,Central Zone 2,12.9819654,77.594477,accident,67.71260665,True,unplanned,closed,19.0,3.0,11.0,1,58,0.0471976401179941,5,0,0,0,0,21,0,unknown,none
2023-11-09 19:28:31.579000,Non-corridor,Central Zone 2,12.9623447,77.5945534,vehicle_breakdown,127.27001373333333,True,unplanned,closed,19.0,3.0,11.0,1,56,0.5737463126843658,2,0,0,1,0,12,0,bmtc_bus,none
2023-11-09 20:51:36.296000,Non-corridor,South Zone 1,12.9217733,77.585775,water_logging,5800.0067728,True,unplanned,closed,20.0,3.0,11.0,1,18,0.668141592920354,4,0,0,2,0,26,0,unknown,none
2023-11-09 21:21:43.780000,IRR(Thanisandra road),South Zone 2,12.9274491,77.6214064,pot_holes,,False,unplanned,active,21.0,3.0,11.0,1,34,0.032448377581120944,3,0,0,0,0,0,0,unknown,none
2023-11-09 22:01:24.938000,Tumkur Road,West Zone 2,13.0139483,77.5658217,others,,False,unplanned,active,22.0,3.0,11.0,1,-1,0.07964601769911504,2,0,0,0,0,11,0,unknown,none
2023-11-09 22:10:51.914000,Mysore Road,Central Zone 2,12.9647158,77.5839903,others,8589.098377216667,True,unplanned,closed,22.0,3.0,11.0,1,57,0.11946902654867257,2,0,0,0,0,23,0,unknown,none
2023-11-09 22:19:50.287000,Non-corridor,Central Zone 2,12.9554704,77.5921748,vehicle_breakdown,135.9581113,True,unplanned,closed,22.0,3.0,11.0,1,-1,0.7345132743362833,2,0,0,3,0,0,0,bmtc_bus,none
2023-11-09 22:35:52.555000,Non-corridor,Central Zone 2,12.9581237,77.5739029,vehicle_breakdown,97.63435158333333,True,unplanned,closed,22.0,3.0,11.0,1,-1,0.7345132743362833,2,0,0,4,0,109,0,bmtc_bus,none
2023-11-09 22:59:04.908431,Non-corridor,Central Zone 2,13.09094844,77.53679215,accident,96.71463815,True,unplanned,closed,22.0,3.0,11.0,1,-1,0.7345132743362833,5,0,0,5,0,0,0,unknown,none
